,Species1,Family1,Order1,Mass,Wing.Length,Habitat,Habitat.Density,Trophic.Level,Primary.Lifestyle,Centroid.Latitude,Centroid.Longitude,Animals
0,Accipiter albogularis,Accipitridae,Accipitriformes,248.8,235.2,Forest,1,Carnivore,Insessorial,-8.15,158.49,Pied goshawk
1,Accipiter badius,Accipitridae,Accipitriformes,131.2,186.7,Shrubland,2,Carnivore,Insessorial,8.23,44.98,Shikra
2,Accipiter bicolor,Accipitridae,Accipitriformes,287.5,229.6,Woodland,2,Carnivore,Generalist,-10.1,-59.96,Bicolored hawk
3,Accipiter brachyurus,Accipitridae,Accipitriformes,142.0,202.2,Forest,1,Carnivore,Insessorial,-5.45,150.68,New Britain sparrowhawk
4,Accipiter brevipes,Accipitridae,Accipitriformes,186.5,217.6,Forest,1,Carnivore,Generalist,45.24,45.33,Levant sparrowhawk
5,Accipiter butleri,Accipitridae,Accipitriformes,122.0,166.0,Forest,1,Carnivore,Insessorial,8.42,93.17,Nicobar sparrowhawk
6,Accipiter castanilius,Accipitridae,Accipitriformes,157.5,163.5,Forest,1,Carnivore,Insessorial,0.71,18.29,Chestnut-flanked sparrowhawk
7,Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,213.0,Forest,1,Carnivore,Generalist,-23.36,137.81,Collared sparrowhawk
8,Accipiter collaris,Accipitridae,Accipitriformes,97.8,165.9,Forest,1,Carnivore,Insessorial,2.47,-75.57,Semicollared hawk
9,Accipiter cooperii,Accipitridae,Accipitriformes,429.7,241.2,Woodland,2,Carnivore,Aerial,41.25,-100.49,Cooper's hawk
10,Accipiter erythrauchen,Accipitridae,Accipitriformes,156.0,191.2,Forest,1,Carnivore,Generalist,-1.32,128.19,Rufous-necked sparrowhawk
11,Accipiter erythropus,Accipitridae,Accipitriformes,111.2,154.6,Forest,1,Carnivore,Insessorial,3.48,10.44,Red-thighed sparrowhawk
12,Accipiter fasciatus,Accipitridae,Accipitriformes,358.7,269.9,Forest,1,Carnivore,Generalist,-24.45,134.95,Brown goshawk
13,Accipiter francesiae,Accipitridae,Accipitriformes,136.8,155.8,Forest,1,Carnivore,Insessorial,-19.49,46.67,Frances's sparrowhawk
14,Accipiter gentilis,Accipitridae,Accipitriformes,866.0,337.6,Forest,1,Carnivore,Generalist,54.91,19.06,Eurasian_goshawk
15,Accipiter griseiceps,Accipitridae,Accipitriformes,251.8,187.2,Forest,1,Carnivore,Insessorial,-1.96,121.18,Sulawesi goshawk
16,Accipiter gularis,Accipitridae,Accipitriformes,120.7,162.6,Forest,1,Carnivore,Insessorial,49.07,117.11,Japanese sparrowhawk
17,Accipiter gundlachi,Accipitridae,Accipitriformes,675.0,228.0,Forest,1,Carnivore,Aerial,21.62,-79.36,Gundlach's hawk
18,Accipiter haplochrous,Accipitridae,Accipitriformes,198.4,227.8,Forest,1,Carnivore,Insessorial,-21.33,165.48,White-bellied goshawk
19,Accipiter henicogrammus,Accipitridae,Accipitriformes,358.7,230.2,Forest,1,Carnivore,Insessorial,0.88,128.01,Moluccan goshawk
20,Accipiter henstii,Accipitridae,Accipitriformes,1050.0,290.5,Forest,1,Carnivore,Insessorial,-18.72,46.85,Henst's goshawk
21,Accipiter hiogaster,Accipitridae,Accipitriformes,326.1,197.2,Forest,1,Carnivore,Insessorial,-5.26,141.22,Variable goshawk
22,Accipiter imitator,Accipitridae,Accipitriformes,222.5,200.0,Forest,1,Carnivore,Insessorial,-6.76,156.47,Imitator goshawk
