,Animals,Diet,Type,Length
0,African wild dog,Carnivore,Mammal,76268
1,American hog-nosed skunk,Carnivore,Mammal,8708
2,American marten,Carnivore,Mammal,38797
3,American mink,Carnivore,Mammal,69282
4,Arctic fox,Carnivore,Mammal,48491
5,Asian badger,Carnivore,Mammal,8750
6,Asian small-clawed otter,Carnivore,Mammal,23973
7,Bat-eared fox,Carnivore,Mammal,23771
8,Bengal fox,Carnivore,Mammal,16234
9,Big brown bat,Carnivore,Mammal,43738
10,Black-backed jackal,Carnivore,Mammal,41061
11,Blue whale,Carnivore,Mammal,93188
12,Bobcat,Carnivore,Mammal,75408
13,Brown bear,Carnivore,Mammal,150287
14,Bush dog,Carnivore,Mammal,19413
15,Cape fox,Carnivore,Mammal,14503
16,Caucasian badger,Carnivore,Mammal,6708
17,Cheetah,Carnivore,Mammal,164402
18,Congo clawless otter,Carnivore,Mammal,5895
19,Corsac fox,Carnivore,Mammal,14349
20,Coyote,Carnivore,Mammal,155585
21,Crab-eating fox,Carnivore,Mammal,14551
22,Culpeo,Carnivore,Mammal,15574
23,Dhole,Carnivore,Mammal,89688
24,Cat,Carnivore,Mammal,155847
25,Dog,Carnivore,Mammal,116195
26,Eastern spotted skunk,Carnivore,Mammal,10571
27,Eastern wolf,Carnivore,Mammal,61310
28,Ethiopian wolf,Carnivore,Mammal,56594
29,Eurasian otter,Carnivore,Mammal,22456
30,Fennec fox,Carnivore,Mammal,15016
31,Fisher,Carnivore,Mammal,3589
32,Formosan ferret-badger,Carnivore,Mammal,4955
33,Giant otter,Carnivore,Mammal,62833
34,Wolf,Carnivore,Mammal,122397
35,Greater grison,Carnivore,Mammal,6466
36,Hairy-nosed otter,Carnivore,Mammal,11135
37,Hoary fox,Carnivore,Mammal,5307
38,Hooded skunk,Carnivore,Mammal,8175
39,Honey badger,Carnivore,Mammal,30020
40,Island fox,Carnivore,Mammal,28656
41,Jaguar,Carnivore,Mammal,115093
42,Japanese badger,Carnivore,Mammal,8604
43,Japanese marten,Carnivore,Mammal,8310
44,Kit fox,Carnivore,Mammal,17507
45,Leopard,Carnivore,Mammal,99308
46,Lesser grison,Carnivore,Mammal,7628
47,Lion,Carnivore,Mammal,145770
48,Maned wolf,Carnivore,Mammal,46956
49,Marine otter,Carnivore,Mammal,14492
50,Nilgiri marten,Carnivore,Mammal,8448
51,Northern hog badger,Carnivore,Mammal,2996
52,Orca,Carnivore,Mammal,136456
53,Pacific marten,Carnivore,Mammal,21374
54,Pale fox,Carnivore,Mammal,6395
55,Pampas fox,Carnivore,Mammal,12352
56,Patagonian weasel,Carnivore,Mammal,2517
57,Polar bear,Carnivore,Mammal,97650
58,Pygmy spotted skunk,Carnivore,Mammal,4725
59,Red fox,Carnivore,Mammal,127558
60,Red wolf,Carnivore,Mammal,110413
61,Sable,Carnivore,Mammal,20467
62,Sea otter,Carnivore,Mammal,110666
63,Short-eared dog,Carnivore,Mammal,11711
64,Side-striped jackal,Carnivore,Mammal,16442
65,Smooth-coated otter,Carnivore,Mammal,24390
66,Snow leopard,Carnivore,Mammal,68730
67,Southern river otter,Carnivore,Mammal,8839
68,Southern spotted skunk,Carnivore,Mammal,3773
69,Spotted-necked otter,Carnivore,Mammal,6366
70,Striped hog-nosed skunk,Carnivore,Mammal,3702
71,Striped skunk,Carnivore,Mammal,29135
72,Sumatran hog badger,Carnivore,Mammal,3525
73,Swift fox,Carnivore,Mammal,16062
74,Tayra,Carnivore,Mammal,12167
75,Tibetan fox,Carnivore,Mammal,8095
76,Tiger,Carnivore,Mammal,145119
77,Walrus,Carnivore,Mammal,70350
78,Western spotted skunk,Carnivore,Mammal,14020
79,Wolverine,Carnivore,Mammal,58530
80,Yellow-throated marten,Carnivore,Mammal,19692
81,Morepork,Carnivore,Bird,17661
82,Shikra,Carnivore,Bird,19273
83,African clawed frog,Carnivore,Amphibians,35773
84,Axolotl,Carnivore,Amphibians,51238
85,Cane toad,Carnivore,Amphibians,66862
86,Common toad,Carnivore,Amphibians,51912
87,Northern crested newt,Carnivore,Amphibians,35430
88,Spotted salamander,Carnivore,Amphibians,22491
89,Spectacled caiman,Carnivore,Reptile,29833
90,Barracuda,Carnivore,fish,19036
91,Muskellunge,Carnivore,fish,15032
92,Abyssinian hare,Herbivore,Mammal,3310
93,Acacia rat,Herbivore,Mammal,1844
94,Addax,Herbivore,Mammal,26624
95,Afghan pika,Herbivore,Mammal,4395
96,African brush-tailed porcupine,Herbivore,Mammal,4344
97,African buffalo,Herbivore,Mammal,34036
98,African grass rat,Herbivore,Mammal,6739
99,African manatee,Herbivore,Mammal,24930
100,African marsh rat,Herbivore,Mammal,1647
101,African palm civet,Herbivore,Mammal,15208
102,African pygmy squirrel,Herbivore,Mammal,7198
103,African savanna hare,Herbivore,Mammal,3909
104,African wild ass,Herbivore,Mammal,21173
105,Agile gibbon,Herbivore,Mammal,5199
106,Agile wallaby,Herbivore,Mammal,9864
107,Alaska marmot,Herbivore,Mammal,24674
108,Alaskan hare,Herbivore,Mammal,6021
109,Alpaca,Herbivore,Mammal,43172
110,Alpine chipmunk,Herbivore,Mammal,4357
111,Alpine ibex,Herbivore,Mammal,30838
112,Alpine marmot,Herbivore,Mammal,15446
113,Alpine musk deer,Herbivore,Mammal,12181
114,Alpine pika,Herbivore,Mammal,18240
115,Amami rabbit,Herbivore,Mammal,16307
116,Amazonian manatee,Herbivore,Mammal,23415
117,North American beaver,Herbivore,Mammal,80705
118,American bison,Herbivore,Mammal,100021
119,American pika,Herbivore,Mammal,24958
120,Angola colobus,Herbivore,Mammal,5649
121,Ankarana sportive lemur,Herbivore,Mammal,2167
122,Annamite striped rabbit,Herbivore,Mammal,4490
123,Antelope jackrabbit,Herbivore,Mammal,8045
124,Appalachian cottontail,Herbivore,Mammal,11707
125,Arabian oryx,Herbivore,Mammal,26440
126,Arabian tahr,Herbivore,Mammal,9959
127,Arctic hare,Herbivore,Mammal,14315
128,Argali,Herbivore,Mammal,23787
129,Arizona cotton rat,Herbivore,Mammal,3769
130,Arizona pocket mouse,Herbivore,Mammal,1342
131,Armored rat,Herbivore,Mammal,9596
132,Arunachal macaque,Herbivore,Mammal,6996
133,Ashy chinchilla rat,Herbivore,Mammal,3271
134,Asia Minor ground squirrel,Herbivore,Mammal,8105
135,Asian elephant,Herbivore,Mammal,77185
136,Asian red-cheeked squirrel,Herbivore,Mammal,1586
137,Asiatic brush-tailed porcupine,Herbivore,Mammal,4184
138,Atlantic bamboo rat,Herbivore,Mammal,11207
139,Atlantic titi monkey,Herbivore,Mammal,12295
140,Baja pocket mouse,Herbivore,Mammal,1952
141,Banana bat,Herbivore,Mammal,12774
142,Banded mongoose,Herbivore,Mammal,17606
143,Bank vole,Herbivore,Mammal,14147
144,Banteng,Herbivore,Mammal,53569
145,Barasingha,Herbivore,Mammal,17421
146,Barbary ground squirrel,Herbivore,Mammal,5023
147,Bawean deer,Herbivore,Mammal,6672
148,Bengal slow loris,Herbivore,Mammal,31468
149,Bighorn sheep,Herbivore,Mammal,36315
150,Binturong,Herbivore,Mammal,33018
151,Black agouti,Herbivore,Mammal,3332
152,Black bearded saki,Herbivore,Mammal,17160
153,Black colobus,Herbivore,Mammal,15539
154,Black crested gibbon,Herbivore,Mammal,14946
155,Black duiker,Herbivore,Mammal,3340
156,Black flying fox,Herbivore,Mammal,11598
157,Black flying squirrel,Herbivore,Mammal,1891
158,Black giant squirrel,Herbivore,Mammal,10734
159,Black howler,Herbivore,Mammal,18330
160,Black lemur,Herbivore,Mammal,9890
161,Black musk deer,Herbivore,Mammal,8030
162,Black rhinoceros,Herbivore,Mammal,59331
163,Black-and-white snub-nosed monkey,Herbivore,Mammal,11811
164,Black wallaroo,Herbivore,Mammal,9941
165,Black wildebeest,Herbivore,Mammal,38430
166,Black-and-white ruffed lemur,Herbivore,Mammal,27087
167,Black-capped marmot,Herbivore,Mammal,5597
168,Black-headed night monkey,Herbivore,Mammal,5145
169,Blackish deer mouse,Herbivore,Mammal,3646
170,Black-striped wallaby,Herbivore,Mammal,3159
171,Black-tailed jackrabbit,Herbivore,Mammal,31916
172,Black-tailed prairie dog,Herbivore,Mammal,48848
173,Blue duiker,Herbivore,Mammal,24493
174,Blue monkey,Herbivore,Mammal,14026
175,Bobak marmot,Herbivore,Mammal,8357
176,Bohor reedbuck,Herbivore,Mammal,26631
177,Bolivian chinchilla rat,Herbivore,Mammal,2137
178,Bonin flying fox,Herbivore,Mammal,12371
179,Bonobo,Herbivore,Mammal,112513
180,Bornean orangutan,Herbivore,Mammal,45497
181,Bornean white-bearded gibbon,Herbivore,Mammal,7722
